Name,Pos,IP,SO,QS,W,SV,Hold,ERA,WHIP,Score,$
Gregory Santos,RP,59.2,60,0.0,2,4,5.0,3.32,1.291,0.3078571428571429,2.7
Brent Suter*,RP,58.0,45,0.0,4,0,6.0,3.1,1.155,0.3044285714285714,2.67
Cionel Pérez*,RP,43.0,38,0.0,4,1,9.0,3.77,1.581,0.29685714285714276,2.61
Colin Rea,SP,100.1,85,4.0,5,0,0.0,5.11,1.266,0.29357142857142865,2.58
James Karinchak,RP,31.0,42,0.0,2,0,12.0,3.48,1.226,0.2902857142857143,2.55
Andre Pallante,RP,51.2,39,0.0,3,0,11.0,4.7,1.49,0.28685714285714287,2.52
Steven Matz*,SP,105.0,98,4.0,4,0,0.0,3.86,1.333,0.28271428571428575,2.48
Keynan Middleton,RP,47.1,61,0.0,2,2,5.0,3.23,1.183,0.2757142857142857,2.42
Taylor Clarke,RP,48.2,52,0.0,2,0,11.0,5.55,1.623,0.272,2.39
Collin McHugh,RP,54.1,43,0.0,4,0,7.0,3.31,1.454,0.2711428571428572,2.38
Rafael Montero,RP,54.1,64,0.0,2,1,7.0,5.47,1.509,0.26985714285714285,2.37
Mike Clevinger,SP,90.2,75,5.0,5,0,0.0,3.47,1.29,0.26971428571428574,2.37
Cole Ragans*,SP,59.0,71,4.0,5,0,3.0,3.66,1.271,0.26885714285714285,2.36
Ranger Suárez*,SP,97.1,89,9.0,2,0,0.0,3.88,1.428,0.2662857142857143,2.34
Chris Devenski,RP,33.2,33,0.0,3,0,10.0,5.08,1.188,0.2654285714285714,2.33
Brandon Williamson*,SP,92.2,82,5.0,4,0,0.0,4.18,1.252,0.261,2.29
Joe Jiménez,RP,44.2,57,0.0,0,0,11.0,2.62,1.119,0.2581428571428571,2.27
Jordan Weems,RP,41.0,47,0.0,3,0,6.0,2.85,1.073,0.25599999999999995,2.25
Tommy Henry*,SP,89.0,64,6.0,5,0,0.0,4.15,1.36,0.24200000000000002,2.12
