Name,PrimaryPos,AB,Z_R,Z_HR,Z_RBI,Z_SB,Z_BB,Z_AVG,Z_SLG,Score,$
Jazz Chisholm Jr.*,OF,234,0.975,1.434,0.915,2.121,0.728,3.108,2.34,1.6601428571428571,5.8
Brandon Belt*,DH,301,1.899,1.825,1.119,0.0,3.035,1.564,2.079,1.645857142857143,5.75
Josh Bell#,DH,423,1.642,2.216,2.289,0.0,2.792,1.173,1.38,1.641714285714286,5.73
Tommy Edman#,SS,357,2.104,1.304,1.526,2.121,1.032,1.307,2.061,1.6364285714285713,5.71
Brendan Donovan*,2B,327,1.796,1.434,1.373,0.624,1.639,2.82,1.709,1.627857142857143,5.68
Kevin Kiermaier*,OF,285,1.539,0.652,1.017,1.372,1.031,3.736,2.047,1.6277142857142857,5.68
Jesús Sánchez*,OF,267,0.975,1.173,1.525,0.374,1.153,3.592,2.57,1.6231428571428572,5.67
Jason Heyward*,OF,239,1.693,1.304,0.966,0.249,1.578,3.077,2.426,1.6132857142857144,5.63
Joey Gallo*,OF,266,1.283,2.476,1.424,0.0,2.427,1.245,2.408,1.609,5.62
Travis Jankowski*,OF,220,1.078,0.0,0.966,2.121,1.578,3.983,1.524,1.6071428571428572,5.61
Keibert Ruiz#,C,403,1.744,1.825,2.187,0.125,1.336,2.398,1.578,1.599,5.58
Joey Wiemer,OF,344,1.693,1.564,1.525,1.372,1.76,1.801,1.375,1.5842857142857143,5.53
Jordan Walker,OF,303,1.078,1.304,1.271,0.749,1.274,3.376,2.02,1.5817142857142856,5.52
LaMonte Wade Jr.*,1B,351,1.899,1.303,1.119,0.249,3.581,1.513,1.376,1.577142857142857,5.51
Carlos Correa,SS,436,1.693,1.825,2.441,0.0,2.428,0.7,1.867,1.564857142857143,5.46
Amed Rosario,SS,450,2.36,0.652,2.238,1.248,0.911,2.079,1.465,1.564714285714286,5.46
Adam Frazier*,2B,338,1.95,1.694,2.238,0.998,1.214,1.307,1.546,1.5638571428571428,5.46
Jeremy Peña,SS,450,2.411,1.173,1.78,1.248,1.518,1.565,1.24,1.5621428571428573,5.45
Brandon Lowe*,2B,294,1.54,2.085,2.136,0.749,2.003,0.699,1.704,1.5594285714285714,5.44
Andrew Vaughn,1B,441,1.95,1.694,2.594,0.0,1.457,1.544,1.646,1.5549999999999997,5.43
Patrick Wisdom,3B,233,1.386,2.606,1.424,0.499,1.396,0.844,2.687,1.5488571428571427,5.41
Harrison Bader,OF,273,1.437,0.782,1.373,1.996,0.485,3.129,1.601,1.5432857142857144,5.39
Mark Canha,OF,319,1.232,0.782,1.475,0.873,2.124,2.861,1.447,1.542,5.38
Ke'Bryan Hayes,3B,368,1.539,1.173,1.73,1.123,0.91,2.387,1.925,1.5410000000000001,5.38
Mike Yastrzemski*,OF,253,1.591,1.304,1.119,0.125,1.456,2.717,2.295,1.5152857142857143,5.29
Harold Ramírez,DH,315,1.796,1.043,1.678,0.499,0.789,3.159,1.633,1.5138571428571426,5.28
Francisco Alvarez,C,310,1.847,2.607,1.933,0.0,1.214,0.998,1.997,1.5137142857142858,5.28
Jurickson Profar#,OF,414,2.001,0.913,1.475,0.125,2.427,2.552,1.037,1.504285714285714,5.25
David Peralta*,OF,310,1.232,0.782,1.831,0.374,0.667,3.808,1.754,1.4925714285714284,5.21
